Family,Taxon,Specimen No.,Sex,ThL,LuL,PreL,PosL,TL,TH,TW,DL,DH,DW,LL,LH,LW
Bovidae,Aepyceros melampus,82050,F,346.2,184.4,290.7,239.9,24.7,14.5,17.5,26.0,13.6,19.9,32.4,15.6,23.3
Bovidae,Aepyceros melampus,216393,?,348.5,193.7,292.6,249.6,24.8,16.3,17.2,25.6,14.6,17.9,32.5,15.4,23.8
Bovidae,Aepyceros melampus,241588,F,339.1,191.0,283.8,246.4,24.9,14.8,16.9,27.8,13.8,18.3,33.3,14.2,22.0
Bovidae,Aepyceros melampus,261111,F,357.0,194.4,298.1,253.3,26.0,15.4,17.9,26.8,15.1,19.4,33.8,15.6,24.0
Bovidae,Alcelaphus buselaphus,17276,?,488.5,251.6,448.1,292.0,35.8,27.6,27.5,39.3,26.3,29.5,42.1,27.0,34.8
Bovidae,Alcelaphus buselaphus,82033,F,452.5,229.1,416.3,265.3,34.2,20.9,22.9,35.2,20.5,26.3,38.9,23.3,28.2
Bovidae,Alcelaphus buselaphus,162994,M,495.0,252.1,454.7,292.4,37.2,23.5,26.7,39.0,24.0,29.5,42.0,25.5,31.0
Bovidae,Alcelaphus buselaphus,162996,M,498.1,249.9,459.0,289.1,36.8,22.8,25.2,36.9,23.1,30.3,42.0,25.2,31.5
Bovidae,Alcelaphus buselaphus,172905,F,503.1,241.7,466.1,278.8,36.7,25.7,25.3,38.6,24.7,28.5,41.4,25.4,31.7
Bovidae,Antidorcas marsupialis,35864,M,322.9,181.8,269.0,235.8,23.0,12.1,14.6,25.5,11.1,18.7,31.2,14.6,21.2
Bovidae,Antidorcas marsupialis,81739,?,323.4,179.6,268.8,234.2,22.6,12.8,16.5,25.0,12.6,18.7,30.7,14.6,21.4
Bovidae,Antidorcas marsupialis,83549,M,297.7,179.1,244.2,232.6,23.2,13.0,13.6,25.0,12.4,21.1,30.8,15.3,20.6
Bovidae,Antidorcas marsupialis,173040,M,299.7,171.0,247.9,222.9,22.2,11.9,15.5,23.8,11.4,18.9,29.4,12.7,22.3
Bovidae,Antidorcas marsupialis,233055,M,341.4,190.1,286.1,245.5,24.6,13.5,17.1,26.6,14.2,19.1,32.7,16.3,22.8
Bovidae,Bison bison,22377,?,981.8,358.7,841.1,499.4,68.3,47.8,48.2,67.9,41.2,48.0,71.3,44.8,53.4
Bovidae,Bison bison,113934,M,882.0,339.4,817.7,403.8,63.3,46.9,45.3,64.1,40.9,48.2,68.1,44.1,53.7
Bovidae,Bison bison,114032,M,956.9,359.3,888.6,427.6,66.7,46.1,45.5,69.4,41.2,46.2,73.9,45.4,54.6
Bovidae,Bison bison,141896,F,744.4,299.6,744.4,299.6,58.7,40.7,39.0,56.5,34.5,40.4,60.2,35.5,45.3
Bovidae,Bison bison,175783,M,947.7,351.0,879.4,419.3,66.2,44.7,44.2,68.0,43.7,49.5,70.2,45.6,56.9
Bovidae,Bison bosus,310690,F,781.1,291.0,781.1,291.0,55.4,37.3,39.9,56.6,34.0,40.7,57.2,39.2,47.8
Bovidae,Bos grunniens,A14328,?,655.1,298.7,561.9,392.0,45.2,32.8,29.8,45.0,30.0,32.6,51.0,28.7,37.7
Bovidae,Bos sauveli,361392,F,665.8,316.5,616.0,366.3,47.5,32.9,35.6,48.8,31.1,36.8,52.3,30.1,39.6
Bovidae,Bos sauveli,399379,F,624.5,303.3,624.5,303.3,45.5,32.8,33.3,49.4,29.5,34.3,50.2,30.9,38.7
Bovidae,Bos taurus,277262,M,826.4,409.8,760.5,475.7,63.7,47.2,49.9,64.0,40.4,49.9,67.3,45.5,55.2
Bovidae,Boselaphus tragocamelus,269127,M,537.7,290.5,449.7,378.4,38.2,26.9,26.7,41.6,27.9,33.3,49.0,29.0,34.6
Bovidae,Bubalus depressicornis,219297,M,453.8,208.9,385.3,277.4,32.7,18.9,22.7,32.5,18.2,22.9,34.4,20.7,29.8
Bovidae,Bubalus mindorensis,219049,?,613.8,274.5,569.9,318.4,45.6,30.8,33.0,44.1,26.5,31.8,45.2,26.9,35.6
Bovidae,Cephalophus dorsalis,52898,M,242.3,147.8,220.9,169.2,17.7,11.5,13.7,20.3,11.8,15.8,25.5,12.1,18.4
Bovidae,Cephalophus dorsalis,52924,M,238.1,147.1,217.6,167.5,18.0,9.3,11.8,19.5,9.3,13.8,26.1,10.4,17.3
Bovidae,Cephalophus dorsalis,52928,F,258.5,150.7,216.1,193.1,19.1,10.5,13.6,20.6,10.4,14.3,25.8,11.9,18.4
Bovidae,Connochaetes gnou,35182,F,488.5,259.8,450.7,297.6,36.9,22.7,24.9,37.1,24.4,31.1,43.3,26.3,31.7
Bovidae,Connochaetes gnou,80020,F,455.0,237.8,417.9,274.8,34.7,21.3,24.0,34.7,22.3,29.7,41.4,26.3,32.3
Bovidae,Connochaetes gnou,81722,F,463.3,202.7,425.8,240.2,36.5,23.8,25.7,36.6,24.6,30.5,40.1,26.7,33.6
Bovidae,Connochaetes taurinus,81789,?,558.5,277.9,514.5,322.0,41.4,26.4,30.5,42.7,28.1,32.9,47.2,30.7,36.1
Bovidae,Connochaetes taurinus,163012,M,588.2,296.6,588.2,296.6,44.1,29.2,30.2,46.6,32.0,34.8,50.2,34.4,37.1
Bovidae,Connochaetes taurinus,163019,M,576.4,300.2,530.9,345.7,43.2,34.2,30.2,44.4,31.1,35.1,51.0,31.9,37.2
Bovidae,Connochaetes taurinus,216386,M,565.1,253.2,518.2,300.2,41.6,39.5,36.3,44.5,28.0,34.5,51.3,30.7,38.0
Bovidae,Connochaetes taurinus,1932.6.6.27,M,546.9,286.9,504.0,329.8,39.4,27.8,28.7,43.5,28.6,31.3,47.9,30.3,35.7
Bovidae,Damaliscus lutus,83526,F,492.1,248.7,455.1,285.7,36.8,21.2,23.4,35.9,20.3,27.6,41.3,22.2,31.3
Bovidae,Damaliscus lutus,113781,M,471.7,256.0,434.5,293.2,34.8,24.1,24.3,36.0,24.8,28.8,42.3,23.5,31.7
Bovidae,Damaliscus lutus,163008,M,470.1,241.9,433.3,278.8,34.5,21.1,22.9,35.4,21.3,24.7,40.1,22.0,29.3
Bovidae,Damaliscus lutus,163009,M,452.9,242.4,452.9,242.4,34.5,22.0,24.3,40.4,22.0,28.9,41.3,23.1,30.8
