tag,spp,block,phy,lh,func,n,p,pN
71,af,1,AVE,EA,inoc,0,0,4.34
169,af,2,AVE,EA,inoc,0,0,3.67
469,af,5,AVE,EA,inoc,0,0,2.81
137,af,2,AVE,EA,inoc,0,1,3.53
327,af,4,AVE,EA,inoc,0,1,3.93
472,af,5,AVE,EA,inoc,0,1,3.16
25,af,1,AVE,EA,inoc,1,0,4.27
115,af,2,AVE,EA,inoc,1,0,4.28
411,af,5,AVE,EA,inoc,1,0,4.29
557,af,6,AVE,EA,inoc,1,0,3.42
129,af,2,AVE,EA,inoc,1,1,3.97
474,af,5,AVE,EA,inoc,1,1,3.88
3,bc,1,BRO,NP,inoc,0,0,2.94
133,bc,2,BRO,NP,inoc,0,0,3.66
216,bc,3,BRO,NP,inoc,0,0,2.83
483,bc,5,BRO,NP,inoc,0,0,3.67
568,bc,6,BRO,NP,inoc,0,0,2.99
95,bc,1,BRO,NP,inoc,0,1,3.78
120,bc,2,BRO,NP,inoc,0,1,3.72
283,bc,3,BRO,NP,inoc,0,1,3.04
462,bc,5,BRO,NP,inoc,0,1,3.14
545,bc,6,BRO,NP,inoc,0,1,2.95
15,bc,1,BRO,NP,inoc,1,0,3.9
144,bc,2,BRO,NP,inoc,1,0,3.75
264,bc,3,BRO,NP,inoc,1,0,3.95
414,bc,5,BRO,NP,inoc,1,0,3.13
564,bc,6,BRO,NP,inoc,1,0,4.08
79,bc,1,BRO,NP,inoc,1,1,3.07
163,bc,2,BRO,NP,inoc,1,1,3.5
272,bc,3,BRO,NP,inoc,1,1,4.16
326,bc,4,BRO,NP,inoc,1,1,4.17
12,bh,1,BRO,EA,inoc,0,1,4.1
488,bh,5,BRO,EA,inoc,0,1,4.06
90,bh,1,BRO,EA,inoc,1,0,4.61
135,bh,2,BRO,EA,inoc,1,0,4.93
218,bh,3,BRO,EA,inoc,1,0,3.87
333,bh,4,BRO,EA,inoc,1,0,4.35
504,bh,6,BRO,EA,inoc,1,0,4.13
22,bh,1,BRO,EA,inoc,1,1,5.43
110,bh,2,BRO,EA,inoc,1,1,5.36
235,bh,3,BRO,EA,inoc,1,1,5.32
476,bh,5,BRO,EA,inoc,1,1,5.17
75,eg,1,TRI,NP,inoc,0,0,4.04
67,eg,1,TRI,NP,inoc,0,1,4.74
368,eg,4,TRI,NP,inoc,0,1,2.76
578,eg,6,TRI,NP,inoc,0,1,3.55
31,eg,1,TRI,NP,inoc,1,0,4.34
494,eg,5,TRI,NP,inoc,1,0,3.84
20,eg,1,TRI,NP,inoc,1,1,4.35
471,eg,5,TRI,NP,inoc,1,1,3.82
170,km,2,AVE,NP,inoc,0,0,2.68
224,km,3,AVE,NP,inoc,0,0,3.29
444,km,5,AVE,NP,inoc,0,0,4.99
74,tc,1,TRI,EA,inoc,0,0,3.29
114,tc,2,TRI,EA,inoc,0,0,3.77
396,tc,4,TRI,EA,inoc,0,0,4.18
571,tc,6,TRI,EA,inoc,0,0,4.23
43,tc,1,TRI,EA,inoc,0,1,3.86
175,tc,2,TRI,EA,inoc,0,1,4.4
215,tc,3,TRI,EA,inoc,0,1,4.7
455,tc,5,TRI,EA,inoc,0,1,4.07
574,tc,6,TRI,EA,inoc,0,1,4.18
70,tc,1,TRI,EA,inoc,1,0,4.41
113,tc,2,TRI,EA,inoc,1,0,4.38
405,tc,5,TRI,EA,inoc,1,0,3.81
68,tc,1,TRI,EA,inoc,1,1,4.6
267,tc,3,TRI,EA,inoc,1,1,4.45
433,tc,5,TRI,EA,inoc,1,1,4.4
502,tc,6,TRI,EA,inoc,1,1,4.56
47,af,1,AVE,EA,mock,0,0,3.88
192,af,2,AVE,EA,mock,0,0,3.92
477,af,5,AVE,EA,mock,0,0,3.18
196,af,2,AVE,EA,mock,0,1,4.55
366,af,4,AVE,EA,mock,0,1,4.18
421,af,5,AVE,EA,mock,0,1,1.4
36,af,1,AVE,EA,mock,1,0,4.42
147,af,2,AVE,EA,mock,1,0,5.17
466,af,5,AVE,EA,mock,1,0,3.57
507,af,6,AVE,EA,mock,1,0,4.5
112,af,2,AVE,EA,mock,1,1,4.95
403,af,5,AVE,EA,mock,1,1,4.78
39,bc,1,BRO,NP,mock,0,0,3.97
177,bc,2,BRO,NP,mock,0,0,3.88
289,bc,3,BRO,NP,mock,0,0,4.05
496,bc,5,BRO,NP,mock,0,0,3.88
569,bc,6,BRO,NP,mock,0,0,3.35
98,bc,1,BRO,NP,mock,0,1,3.86
128,bc,2,BRO,NP,mock,0,1,3.87
269,bc,3,BRO,NP,mock,0,1,4.28
461,bc,5,BRO,NP,mock,0,1,3.71
562,bc,6,BRO,NP,mock,0,1,4.12
21,bc,1,BRO,NP,mock,1,0,3.5
187,bc,2,BRO,NP,mock,1,0,4.47
271,bc,3,BRO,NP,mock,1,0,3.89
408,bc,5,BRO,NP,mock,1,0,3.21
512,bc,6,BRO,NP,mock,1,0,3.49
69,bc,1,BRO,NP,mock,1,1,4.62
131,bc,2,BRO,NP,mock,1,1,4.28
262,bc,3,BRO,NP,mock,1,1,4.34
382,bc,4,BRO,NP,mock,1,1,4.3
2,bh,1,BRO,EA,mock,0,1,3.89
422,bh,5,BRO,EA,mock,0,1,1.72
29,bh,1,BRO,EA,mock,1,0,5.12
160,bh,2,BRO,EA,mock,1,0,4.61
240,bh,3,BRO,EA,mock,1,0,4.68
399,bh,4,BRO,EA,mock,1,0,4.41
572,bh,6,BRO,EA,mock,1,0,3.92
58,bh,1,BRO,EA,mock,1,1,4.82
173,bh,2,BRO,EA,mock,1,1,4.88
201,bh,3,BRO,EA,mock,1,1,5.09
452,bh,5,BRO,EA,mock,1,1,4.76
100,eg,1,TRI,NP,mock,0,0,4.09
44,eg,1,TRI,NP,mock,0,1,3.94
391,eg,4,TRI,NP,mock,0,1,4.24
523,eg,6,TRI,NP,mock,0,1,3.96
13,eg,1,TRI,NP,mock,1,0,4.25
430,eg,5,TRI,NP,mock,1,0,4.45
6,eg,1,TRI,NP,mock,1,1,4.55
423,eg,5,TRI,NP,mock,1,1,4.42
168,km,2,AVE,NP,mock,0,0,3.59
275,km,3,AVE,NP,mock,0,0,3.82
480,km,5,AVE,NP,mock,0,0,2.08
11,tc,1,TRI,EA,mock,0,0,4.69
130,tc,2,TRI,EA,mock,0,0,4.75
392,tc,4,TRI,EA,mock,0,0,3.05
584,tc,6,TRI,EA,mock,0,0,4.15
51,tc,1,TRI,EA,mock,0,1,4.57
199,tc,2,TRI,EA,mock,0,1,3.66
280,tc,3,TRI,EA,mock,0,1,4.56
448,tc,5,TRI,EA,mock,0,1,3.87
509,tc,6,TRI,EA,mock,0,1,4.29
4,tc,1,TRI,EA,mock,1,0,4.9
145,tc,2,TRI,EA,mock,1,0,4.54
464,tc,5,TRI,EA,mock,1,0,4.93
81,tc,1,TRI,EA,mock,1,1,4.88
219,tc,3,TRI,EA,mock,1,1,5.06
432,tc,5,TRI,EA,mock,1,1,5.2
517,tc,6,TRI,EA,mock,1,1,4.73
