# Chesapeake Bay 2400 Year Isotope-Mg/Ca Data and Temperature Estimates 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21530 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/cronin2010b/cronin2010b-composite.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#
# Parameter_Keywords: geochemistry, carbon isotopes, oxygen isotopes, climate reconstruction
#--------------------
# Contribution_Date
#	Date: 2017-02-24
#--------------------
# Title
#	Study_Name: Chesapeake Bay 2400 Year Isotope-Mg/Ca Data and Temperature Estimates 
#--------------------
# Investigators
# 	Investigators: Cronin, T.M.; Hayo, K.; Thunell, R.C.; Dwyer, G.S.; Saenger, C.; Willard, D.A.
#--------------------
# Description_and_Notes
#	Description: Benthic foraminifer stable isotope (d18O and d13C) and Mg/Ca data, plus Bay temperature and salinity 
#	estimates for the past 2,400 years.  
#--------------------
# Publication 
#	Authors: T.M. Cronin, K. Hayo, R.C. Thunell, G.S. Dwyer, C. Saenger, D.A. Willard
#	Published_Date_or_Year: 2010-11-10
#	Published_Title: The Medieval Climate Anomaly and Little Ice Age in Chesapeake Bay and the North Atlantic Ocean
#	Journal_Name: Palaeogeography, Palaeoecology, Palaeoclimatology 
#	Volume: 297
#	Edition: 
#	Issue: 2
#	Pages: 299-310
#	Report_Number: 
#	DOI: 10.1016/j.palaeo.2010.08.009
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0031018210005031
#	Full_Citation: 
#	Abstract: A new 2400-year paleoclimate reconstruction from Chesapeake Bay (CB) (eastern US) was compared to other paleoclimate records in the North Atlantic region to evaluate climate variability during the Medieval Climate Anomaly (MCA) and Little Ice Age (LIA). Using Mg/Ca ratios from ostracodes and oxygen isotopes from benthic foraminifera as proxies for temperature and precipitation-driven estuarine hydrography, results show that warmest temperatures in CB reached 16-17C between 600 and 950 CE (Common Era), centuries before the classic European Medieval Warm Period (950-1100 CE) and peak warming in the Nordic Seas (1000-1400 CE). A series of centennial warm/cool cycles began about 1000 CE with temperature minima of ~8 to 9C about 1150, 1350, and 1650-1800 CE, and intervening warm periods (14-15C) centered at 1200, 1400, 1500 and 1600 CE. Precipitation variability in the eastern US included multiple dry intervals from 600 to 1200 CE, which contrasts with wet medieval conditions in the Caribbean. The eastern US experienced a wet LIA between 1650 and 1800 CE when the Caribbean was relatively dry. Comparison of the CB record with other records shows that the MCA and LIA were characterized by regionally asynchronous warming and complex spatial patterns of precipitation, possibly related to ocean-atmosphere processes.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US Geological Survey
#	Grant: Global Change Program
#------------------
# Site_Information 
#	Site_Name: Chesapeake Bay 
#	Location: Ocean>Atlantic Ocean>North Atlantic Ocean
#	Country: United States of America
#	Northernmost_Latitude: 38.8868
#	Southernmost_Latitude: 38.3263
#	Easternmost_Longitude: -76.3925
#	Westernmost_Longitude: -76.3982
#	Elevation: -25 m  
#------------------
# Data_Collection   
#	Collection_Name: Cronin2010bComposite
#	Earliest_Year: -183
#	Most_Recent_Year: 1995
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## core	core name, , , , , , , ,C
## depth_cm	depth, , , cm, , , , ,N
## age_AD	age, , , AD, , , , ,N
## Mg/Ca	Magnesium/Calcium ratio, Elphidium selseyense, , mmol/mol, , paleoceanography, , ,N 
## temp	temperature, , , degrees C, , climate reconstructions, Estimated Bay Temp , ,N
## temp-sm	temperature, , , degrees C, , climate reconstructions, Estimated Bay Temp 5PtSmooth, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
core	depth_cm	age_AD	Mg/Ca	temp	temp-sm
RD/2209	9	1995.9	23.18	12.50	
RD/2209	11	1994.9	18.55	9.52	
RD/2209	17	1992.0	24.23	13.18	11.53
RD/2209	19	1991.0	22.12	11.82	11.61
RD/2209	21	1990.0	20.25	10.61	11.65
RD/2209	23	1989.0	23.82	12.91	11.15
RD/2209	25	1988.0	18.88	9.73	11.48
RD/2209	27	1987.0	20.33	10.67	12.37
PTXT-2	14.5	1984.3	28.03	13.47	12.56
RD/2209	33	1984.1	27.16	15.06	14.84
PTXT-2	15	1983.9	28.78	13.88	14.17
PTXT-2	15.5	1983.4	41.82	21.12	13.94
PTMC-3	8.5	1982.7	15.17	7.34	13.00
RD/2209	37	1982.1	22.86	12.29	11.65
PTXT-2	17	1982.0	22.48	10.39	10.21
PTXT-2	17.5	1981.5	16.59	7.11	10.31
RD/2209	39	1981.1	25.40	13.93	10.55
PTXT-2	18.5	1980.6	17.91	7.85	11.80
RD/2209	41	1980.1	24.69	13.47	14.18
PTXT-2	19	1980.1	33.73	16.63	14.50
PTXT-2	19.5	1979.6	38.01	19.01	15.75
RD/2209	43	1979.2	27.91	15.54	16.31
PTMC-3	11	1978.8	25.66	14.10	15.90
PTXT-2	20.5	1978.7	33.06	16.26	15.04
RD/2209	45	1978.2	26.40	14.57	14.88
PTXT-2	21.5	1977.7	30.28	14.72	15.03
RD/2209	47	1977.2	26.67	14.75	12.80
RD/2209	49	1976.2	26.82	14.85	12.76
PTXT-2	25	1974.4	12.94	5.09	12.95
RD/2209	53	1974.2	26.13	14.40	12.39
RD/2209	55	1973.3	28.09	15.66	11.52
PTXT-2	27	1972.5	25.33	11.97	13.45
RD/2209	59	1971.3	20.03	10.47	13.06
PTMC-3	16	1971.0	26.68	14.75	12.26
RD/2209	61	1970.3	23.09	12.44	11.78
PTMC-3	17	1969.4	21.87	11.66	12.05
PTXT-2	31	1968.8	21.00	9.57	12.05
PTMC-3	17.5	1968.7	22.12	11.82	12.08
RD/2209	65	1968.3	26.69	14.76	11.47
PTMC-3	18	1967.9	23.30	12.58	12.31
PTMC-3	18.5	1967.1	17.18	8.64	12.71
PTXT-2	33	1966.9	28.55	13.76	12.12
RD/2209	69	1966.4	25.24	13.83	12.24
PTMC-3	19	1966.3	22.11	11.81	12.93
RD/2209	71	1965.4	24.18	13.14	12.91
PTXT-2	35	1965.0	25.58	12.11	12.88
PTMC-3	20	1964.8	24.95	13.64	13.59
RD/2209	73	1964.4	25.06	13.71	14.15
PTMC-3	20.5	1964.0	27.60	15.35	14.05
RD/2209	75	1963.4	28.49	15.92	13.05
PTMC-3	21	1963.2	21.86	11.65	12.95
PTXT-2	37	1963.1	19.34	8.64	12.34
RD/2209	77	1962.4	24.24	13.18	11.77
PTMC-3	22	1961.6	22.87	12.30	11.14
RD/2209	79	1961.4	24.09	13.09	11.85
PTXT-2	39	1961.2	19.04	8.48	13.26
RD/2209	81	1960.5	22.75	12.22	13.59
PTMC-3	23	1960.1	35.13	20.20	14.14
RD/2209	83	1959.5	25.47	13.98	14.67
PTXT-2	41	1959.3	32.29	15.83	15.76
PTMC-3	24	1958.5	21.05	11.13	14.13
RD/2209	85	1958.5	31.17	17.64	15.05
RD/2209	87	1957.5	22.52	12.08	14.75
PTXT-2	43	1957.4	37.19	18.55	15.22
RD/2209	89	1956.5	26.06	14.35	14.93
RD/2209	91	1955.5	24.68	13.46	15.15
PTMC-3	26	1955.4	28.90	16.19	15.22
RD/2209	93	1954.6	24.24	13.18	15.70
PTXT-2	47	1953.7	37.81	18.90	16.08
RD/2209	95	1953.6	29.80	16.76	17.20
RD/2209	97	1952.6	27.66	15.38	16.49
PTMC-3	28	1952.3	37.58	21.78	15.12
PTXT-2	49	1951.8	21.15	9.65	14.51
RD/2209	101	1950.6	22.43	12.02	14.32
PTXT-2	51	1949.9	28.45	13.70	12.05
RD/2209	103	1949.6	26.22	14.46	12.30
PTXT-2	53	1948.0	22.50	10.40	12.26
RD/2209	107	1947.7	20.70	10.90	12.55
RD/2209	109	1946.7	22.19	11.86	12.26
PTXT-2	55	1946.1	31.00	15.12	12.92
RD/2209	111	1945.7	23.95	13.00	14.58
RD/2209	112	1945.2	25.09	13.73	16.03
RD/2209	113	1944.7	33.53	19.17	15.78
PTMC-3	34	1942.9	33.45	19.11	15.08
RD/2209	117	1942.8	25.37	13.91	15.57
RD/2209	121	1940.8	18.50	9.48	16.36
